Midtown North Precinct,,
Backing Unsafely,0,0
Bike Lane,0,0
Bus Lane,0,0
Cell Phone,6,6
Commercial Veh on Pkwy,0,0
Cruising For Passengers,0,0
Disobey Traffic Control Device,14,14
Driving Too Slow,0,0
Equipment,3,3
Equipment (Other),0,0
Excessive Noise,0,0
Fail to Keep Right,0,0
Fail to yield Right of Way to Pedestrian,11,11
Failure to Signal,0,0
Failure to yield Right of Way to Vehicle,0,0
Following Too Closely,0,0
Improper Passing,0,0
Improper Taxi Pickup,0,0
Improper Turn,10,10
Improper/Missing Plates,0,0
Lamps and Other Equipment on Bicycle,0,0
Motorcycle (Other),0,0
Not Giving R of W to Veh.,0,0
Obstructed Plate,3,3
One Way Street,1,1
Overheight,0,0
Overlength,0,0
Overweight,0,0
Overwidth,0,0
Pavement Markings,0,0
Red Light,4,4
School Bus,0,0
Scooter In NYC,0,0
Seat Belt,3,3
Speeding,26,26
Spillback,0,0
TBTA Rule,0,0
Tints,10,10
TLC (Other),0,0
Truck Route,0,0
Uninspected,0,0
Uninsured,1,1
Unlicensed Operator,7,7
Unregistered,6,6
Unsafe Lane Change,0,0
Other Movers,9,9
TOTAL Movers,114,114
